family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
oracle_ac_bounds_dual,O-BD,$V_a$,Va,Va,18,11,0.3733179569244385,104.0,0.3965709209442138,-114.41126248317441,\textbf{F},0.373/-114,0.037/-3,\textbf{F},13.094/-382,0.328/-38,17.747/-260,\textbf{F},\textbf{F},1.970/-303,0.087/-43,\textbf{F},0.034/-47,39.683/-165,4.527/-431,0.087/8,\textbf{F},\textbf{F},,4,"(1, (0,), 'Va')"
oracle_ac_bounds_dual,O-BD,$V_m$,Vm,Vm,18,11,0.3005869388580322,99.0,0.3317670822143554,-79.27971352464215,\textbf{F},0.277/-59,0.032/10,\textbf{F},\textbf{F},0.301/-27,13.033/-164,\textbf{F},\textbf{F},0.876/-79,0.095/-57,\textbf{F},0.043/-89,30.081/-101,3.093/-263,0.089/6,\textbf{F},67.121/-311,,4,"(1, (1,), 'Vm')"
oracle_ac_bounds_dual,O-BD,$P_g$,Pg,Pg,18,13,1.521338939666748,74.0,1.5932118892669678,-37.00902421919999,\textbf{F},0.242/-39,0.031/12,\textbf{F},12.585/-363,0.229/4,6.758/-37,\textbf{F},\textbf{F},1.927/-294,0.094/-55,18.436/-19,0.023/1,16.410/-10,1.521/-78,0.111/-17,\textbf{F},38.776/-138,,4,"(1, (2,), 'Pg')"
oracle_ac_bounds_dual,O-BD,$Q_g$,Qg,Qg,18,10,0.32255768775939936,83.0,0.3463220596313476,-76.2522860649184,\textbf{F},0.371/-113,0.034/4,\textbf{F},\textbf{F},0.274/-15,12.514/-154,\textbf{F},\textbf{F},1.240/-154,0.085/-39,\textbf{F},0.028/-20,45.060/-201,3.007/-253,0.117/-23,\textbf{F},\textbf{F},,4,"(1, (3,), 'Qg')"
oracle_ac_bounds_dual,O-BD,$V_a{+}V_m$,Vm+Va,Va+Vm,18,13,0.7515420913696289,97.0,0.7999551296234131,-111.10076504587956,\textbf{F},0.368/-111,0.038/-6,\textbf{F},13.654/-402,0.536/-126,16.636/-237,\textbf{F},\textbf{F},0.752/-54,0.095/-56,46.884/-202,0.019/19,31.507/-110,4.983/-485,0.087/9,\textbf{F},71.460/-338,,4,"(2, (0, 1), 'Va+Vm')"
oracle_ac_bounds_dual,O-BD,$V_a{+}P_g$,Pg+Va,Va+Pg,18,14,1.6106079816818237,75.0,1.6698535680770874,-54.11251764273805,\textbf{F},0.740/-325,0.033/6,\textbf{F},9.995/-268,0.232/2,7.774/-58,21.219/-136,\textbf{F},1.937/-296,0.067/-11,17.958/-16,0.028/-20,26.525/-77,1.284/-51,0.084/12,\textbf{F},52.350/-221,,4,"(2, (0, 2), 'Va+Pg')"
oracle_ac_bounds_dual,O-BD,$V_a{+}Q_g$,Qg+Va,Va+Qg,18,11,0.5166940689086914,72.0,0.5521562099456787,-196.7578322376395,\textbf{F},0.517/-197,0.035/2,\textbf{F},11.634/-328,0.330/-39,22.378/-354,\textbf{F},\textbf{F},1.602/-228,0.069/-14,\textbf{F},0.026/-13,45.190/-202,3.135/-268,0.086/10,\textbf{F},\textbf{F},,4,"(2, (0, 3), 'Va+Qg')"
oracle_ac_bounds_dual,O-BD,$V_m{+}P_g$,Pg+Vm,Vm+Pg,18,12,0.7146040201187134,73.5,0.7650641202926636,-56.65804112149763,\textbf{F},0.316/-82,0.035/3,\textbf{F},\textbf{F},0.239/-1,7.023/-42,\textbf{F},\textbf{F},1.173/-140,0.123/-103,26.553/-71,0.042/-82,16.726/-12,1.113/-31,0.106/-11,\textbf{F},39.488/-142,,4,"(2, (1, 2), 'Vm+Pg')"
oracle_ac_bounds_dual,O-BD,$V_m{+}Q_g$,Qg+Vm,Vm+Qg,18,11,0.7258579730987549,84.0,0.7697458267211914,-67.54863660456628,\textbf{F},1.110/-538,0.030/15,\textbf{F},\textbf{F},0.280/-18,13.696/-178,\textbf{F},\textbf{F},0.726/-49,0.102/-68,\textbf{F},0.032/-41,31.980/-113,2.853/-235,0.095/1,\textbf{F},62.661/-284,,4,"(2, (1, 3), 'Vm+Qg')"
oracle_ac_bounds_dual,O-BD,$P_g{+}Q_g$,Pg+Qg,Pg+Qg,18,13,1.1914489269256592,62.0,1.2944629192352295,-39.76973076987621,\textbf{F},0.238/-36,0.032/10,\textbf{F},10.647/-292,0.223/6,9.462/-92,\textbf{F},\textbf{F},2.599/-432,0.095/-56,38.911/-150,0.032/-39,16.121/-8,1.191/-40,0.088/8,\textbf{F},42.320/-159,,4,"(2, (2, 3), 'Pg+Qg')"
oracle_ac_bounds_dual,O-BD,$V_a{+}V_m{+}P_g$,Pg+Vm+Va,Va+Vm+Pg,18,16,2.8138309717178345,39.0,3.047686219215393,-9.352026738696438,\textbf{F},0.214/-23,0.032/11,134.318/-198,4.790/-76,0.225/5,7.542/-53,14.165/-58,\textbf{F},0.659/-35,0.073/-20,9.555/38,0.019/16,12.750/15,0.838/2,0.074/23,28.452/38,26.432/-62,,4,"(3, (0, 1, 2), 'Va+Vm+Pg')"
oracle_ac_bounds_dual,O-BD,$V_a{+}V_m{+}Q_g$,Qg+Vm+Va,Va+Vm+Qg,18,11,0.6184618473052979,93.0,0.633037805557251,-109.3306514496998,\textbf{F},0.416/-139,0.033/7,\textbf{F},12.284/-352,0.618/-161,15.821/-221,\textbf{F},\textbf{F},0.703/-44,0.066/-8,\textbf{F},0.018/21,31.363/-109,\textbf{F},0.080/16,\textbf{F},73.685/-352,,4,"(3, (0, 1, 3), 'Va+Vm+Qg')"
oracle_ac_bounds_dual,O-BD,$V_a{+}P_g{+}Q_g$,Pg+Qg+Va,Va+Pg+Qg,18,14,1.5646840333938599,66.5,1.6109551191329956,-44.14196887256731,\textbf{F},0.267/-53,0.037/-5,\textbf{F},9.367/-244,0.206/13,6.666/-35,26.283/-193,\textbf{F},1.595/-226,0.081/-34,13.486/13,0.028/-24,24.727/-65,1.535/-80,0.088/8,\textbf{F},61.888/-279,,4,"(3, (0, 2, 3), 'Va+Pg+Qg')"
oracle_ac_bounds_dual,O-BD,$V_m{+}P_g{+}Q_g$,Pg+Qg+Vm,Vm+Pg+Qg,18,12,0.6453025341033936,62.0,0.6812351942062378,-36.80108637938088,\textbf{F},0.335/-92,0.034/5,\textbf{F},\textbf{F},0.215/10,6.969/-41,\textbf{F},\textbf{F},0.956/-96,0.079/-30,37.278/-140,0.026/-12,19.822/-32,1.455/-71,0.086/10,\textbf{F},29.764/-82,,4,"(3, (1, 2, 3), 'Vm+Pg+Qg')"
oracle_ac_bounds_dual,O-BD,$V_a{+}V_m{+}P_g{+}Q_g$,Pg+Qg+Vm+Va,Va+Vm+Pg+Qg,18,16,1.9048645496368408,16.0,2.3610360622406006,22.754813341521732,62.732/-107,0.181/-4,0.029/20,\textbf{F},5.324/-96,0.197/17,3.104/37,13.269/-48,\textbf{F},0.326/33,0.045/26,4.929/68,0.016/28,9.756/35,0.706/17,0.069/28,9.721/79,17.340/-6,,4,"(4, (0, 1, 2, 3), 'Va+Vm+Pg+Qg')"
